term_str,nrc_anger,nrc_anticipation,nrc_disgust,nrc_fear,nrc_joy,nrc_negative,nrc_positive,nrc_sadness,nrc_surprise,nrc_trust,nrc_polarity
altercation,1,0,0,0,0,1,0,0,0,0,-1
amazingly,0,0,0,0,1,0,1,0,1,0,1
ambassador,0,0,0,0,0,0,1,0,0,1,1
ambition,0,1,0,0,1,0,1,0,0,1,1
ambulance,0,0,0,1,0,0,0,0,0,1,0
ambush,1,0,0,1,0,1,0,0,1,0,-1
amen,0,0,0,0,1,0,1,0,0,1,1
amicable,0,0,0,0,1,0,1,0,0,0,1
amnesty,0,0,0,0,1,0,1,0,0,0,1
amour,0,1,0,0,1,0,1,0,0,1,1
amphetamines,0,0,1,0,0,1,0,0,0,0,-1
amuse,0,0,0,0,1,0,1,0,0,0,1
amused,0,0,0,0,1,0,1,0,0,0,1
amusement,0,0,0,0,1,0,1,0,0,0,1
amusing,0,0,0,0,1,0,1,0,0,0,1
anaconda,0,0,1,1,0,1,0,0,0,0,-1
analyst,0,1,0,0,0,0,1,0,0,1,1
anarchism,1,0,0,1,0,1,0,0,0,0,-1
anarchist,1,0,0,1,0,1,0,0,0,0,-1
anarchy,1,0,0,1,0,1,0,0,0,0,-1
anathema,1,0,1,1,0,1,0,1,0,0,-1
anchorage,0,0,0,0,0,0,1,1,0,0,1
angel,0,1,0,0,1,0,1,0,1,1,1
angelic,0,0,0,0,1,0,1,0,0,1,1
anger,1,0,0,0,0,1,0,0,0,0,-1
angina,0,0,0,1,0,1,0,0,0,0,-1
angling,0,1,0,0,0,1,0,0,0,0,-1
angry,1,0,1,0,0,1,0,0,0,0,-1
anguish,1,0,0,1,0,1,0,1,0,0,-1
animated,0,0,0,0,1,0,1,0,0,0,1
animosity,1,0,1,1,0,1,0,1,0,0,-1
animus,1,0,0,0,0,1,0,0,0,0,-1
annihilate,1,0,0,1,0,1,0,0,0,0,-1
annihilated,1,0,0,1,0,1,0,1,0,0,-1
annihilation,1,0,0,1,0,1,0,1,0,0,-1
annoy,1,0,1,0,0,1,0,0,0,0,-1
annoyance,1,0,1,0,0,1,0,0,0,0,-1
annoying,1,0,0,0,0,1,0,0,0,0,-1
annulment,0,0,0,0,0,1,0,1,0,0,-1
anomaly,0,0,0,1,0,1,0,0,1,0,-1
antagonism,1,0,0,0,0,1,0,0,0,0,-1
antagonist,1,0,0,0,0,1,0,0,0,0,-1
antagonistic,1,0,1,0,0,1,0,0,0,0,-1
anthrax,0,0,1,1,0,1,0,1,0,0,-1
antichrist,1,0,1,1,0,1,0,0,0,0,-1
antidote,0,1,0,0,0,0,1,0,0,1,1
antifungal,0,0,0,0,0,0,1,0,0,1,1
antipathy,1,0,1,0,0,1,0,0,0,0,-1
antiseptic,0,0,0,0,0,0,1,0,0,1,1
antisocial,1,0,1,1,0,1,0,1,0,0,-1
antithesis,1,0,0,0,0,1,0,0,0,0,-1
anxiety,1,1,0,1,0,1,0,1,0,0,-1
anxious,0,1,0,1,0,1,0,0,0,0,-1
apache,0,0,0,1,0,1,0,0,0,0,-1
apathetic,0,0,0,0,0,1,0,1,0,0,-1
apathy,0,0,0,0,0,1,0,1,0,0,-1
aphid,0,0,1,0,0,1,0,0,0,0,-1
apologetic,0,0,0,0,0,0,1,0,0,1,1
apologize,0,0,0,0,0,0,1,1,0,1,1
apostle,0,0,0,0,0,0,1,0,0,1,1
appalling,0,0,1,1,0,1,0,0,0,0,-1
apparition,0,0,0,1,0,0,0,0,1,0,0
appendicitis,0,0,0,1,0,1,0,1,0,0,-1
applause,0,0,0,0,1,0,1,0,1,1,1
appreciation,0,0,0,0,1,0,1,0,0,1,1
apprehension,0,0,0,1,0,1,0,0,0,0,-1
apprehensive,0,1,0,1,0,1,0,0,0,0,-1
approbation,0,0,0,0,0,0,1,0,0,1,1
approve,0,0,0,0,1,0,1,0,0,1,1
archaeology,0,1,0,0,0,0,1,0,0,0,1
ardent,0,1,0,0,1,0,1,0,0,0,1
argue,1,0,0,0,0,1,0,0,0,0,-1
argument,1,0,0,0,0,1,0,0,0,0,-1
arid,0,0,0,0,0,1,0,1,0,0,-1
armament,1,0,0,1,0,0,0,0,0,0,0
armaments,0,0,0,1,0,1,0,0,0,0,-1
armed,1,0,0,1,0,1,1,0,0,0,0
armor,0,0,0,1,0,0,1,0,0,1,1
arouse,0,1,0,0,0,0,1,0,0,0,1
arraignment,1,0,0,1,0,1,0,1,0,0,-1
arrogant,1,0,1,0,0,1,0,0,0,0,-1
arsenic,0,0,1,1,0,1,0,1,0,0,-1
arson,1,0,0,1,0,1,0,0,0,0,-1
art,0,1,0,0,1,0,1,1,1,0,1
artillery,0,0,0,1,0,1,0,0,0,0,-1
ashamed,0,0,1,0,0,1,0,1,0,0,-1
ashes,0,0,0,0,0,1,0,1,0,0,-1
aspiration,0,1,0,0,1,0,1,0,1,1,1
aspire,0,1,0,0,1,0,1,0,0,0,1
aspiring,0,1,0,0,1,0,1,0,0,1,1
assail,1,0,0,1,0,1,0,0,1,0,-1
assailant,1,0,0,1,0,1,0,1,0,0,-1
assassin,1,0,0,1,0,1,0,1,0,0,-1
assassinate,1,0,0,1,0,1,0,0,0,0,-1
assassination,1,0,0,1,0,1,0,1,0,0,-1
assault,1,0,0,1,0,1,0,0,0,0,-1
assembly,0,0,0,0,0,0,1,0,0,1,1
asserting,0,0,0,0,0,0,1,0,0,1,1
assessment,0,0,0,0,0,0,0,0,1,1,0
asshole,1,0,1,0,0,1,0,0,0,0,-1
assist,0,0,0,0,0,0,1,0,0,1,1
associate,0,0,0,0,0,0,1,0,0,1,1
assurance,0,0,0,0,0,0,1,0,0,1,1
assured,0,0,0,0,0,0,1,0,0,1,1
astonishingly,0,0,0,0,0,0,1,0,1,0,1
astonishment,0,0,0,0,1,0,1,0,1,0,1
astray,0,0,0,1,0,1,0,0,0,0,-1
astrologer,0,1,0,0,0,0,1,0,0,0,1
astronomer,0,1,0,0,0,0,1,0,0,0,1
asylum,0,0,0,1,0,1,0,0,0,0,-1
atherosclerosis,0,0,0,1,0,1,0,1,0,0,-1
atone,0,1,0,0,1,0,1,0,0,1,1
atrocious,1,0,1,0,0,1,0,0,0,0,-1
atrocity,1,0,1,1,0,1,0,1,0,0,-1
atrophy,0,0,1,1,0,1,0,1,0,0,-1
attack,1,0,0,1,0,1,0,0,0,0,-1
attacking,1,0,1,1,0,1,0,1,1,0,-1
attainable,0,1,0,0,0,0,1,0,0,0,1
attendant,0,0,0,0,0,0,1,0,0,1,1
attentive,0,0,0,0,0,0,1,0,0,1,1
attenuation,0,0,0,0,0,1,0,1,0,0,-1
attest,0,0,0,0,0,0,1,0,0,1,1
attorney,1,0,0,1,0,0,1,0,0,1,1
auditor,0,0,0,1,0,0,0,0,0,1,0
aunt,0,0,0,0,0,0,1,0,0,1,1
auspicious,0,1,0,0,1,0,1,0,0,0,1
austere,0,0,0,1,0,1,0,1,0,0,-1
authentic,0,0,0,0,1,0,1,0,0,1,1
authenticity,0,0,0,0,0,0,1,0,0,1,1
author,0,0,0,0,0,0,1,0,0,1,1
authoritative,0,0,0,0,0,0,1,0,0,1,1
authority,0,0,0,0,0,0,1,0,0,1,1
authorization,0,0,0,0,0,0,1,0,0,1,1
autopsy,0,0,1,1,0,1,0,1,0,0,-1
avalanche,0,0,0,1,0,1,0,1,1,0,-1
avarice,1,0,1,0,0,1,0,0,0,0,-1
avenger,1,0,0,0,0,1,0,0,0,0,-1
averse,1,0,1,1,0,1,0,0,0,0,-1
aversion,1,0,1,1,0,1,0,0,0,0,-1
avoid,0,0,0,1,0,1,0,0,0,0,-1
avoidance,0,0,0,1,0,1,0,0,0,0,-1
award,0,1,0,0,1,0,1,0,1,1,1
awful,1,0,1,1,0,1,0,1,0,0,-1
awkwardness,0,0,1,0,0,1,0,0,0,0,-1
baboon,0,0,1,0,0,1,0,0,0,0,-1
baby,0,0,0,0,1,0,1,0,0,0,1
backbone,1,0,0,0,0,0,1,0,0,1,1
backwards,0,0,1,0,0,1,0,0,0,0,-1
backwater,0,0,0,0,0,1,0,1,0,0,-1
bacteria,0,0,1,1,0,1,0,1,0,0,-1
bacterium,0,0,1,1,0,1,0,0,0,0,-1
bad,1,0,1,1,0,1,0,1,0,0,-1
badger,1,0,0,0,0,1,0,0,0,0,-1
badly,0,0,0,0,0,1,0,1,0,0,-1
badness,1,0,1,1,0,1,0,0,0,0,-1
bailiff,0,0,0,1,0,1,0,0,0,1,-1
bait,0,0,0,1,0,1,0,0,0,1,-1
bale,0,0,0,1,0,1,0,0,0,0,-1
ballot,0,1,0,0,0,0,1,0,0,1,1
balm,0,1,0,0,1,1,1,0,0,0,0
bane,1,0,1,1,0,1,0,0,0,0,-1
bang,1,0,1,1,0,1,0,1,1,0,-1
banger,1,1,0,1,0,1,0,0,1,0,-1
banish,1,0,1,1,0,1,0,1,0,0,-1
banished,1,0,0,1,0,1,0,1,0,0,-1
banishment,1,0,1,0,0,1,0,1,0,0,-1
bankrupt,0,0,0,1,0,1,0,1,0,0,-1
bankruptcy,1,0,1,1,0,1,0,1,0,0,-1
banquet,0,1,0,0,1,0,1,0,0,0,1
banshee,1,0,1,1,0,1,0,1,0,0,-1
baptismal,0,0,0,0,1,0,1,0,0,0,1
barb,1,0,0,0,0,1,0,0,0,0,-1
barbarian,0,0,0,1,0,1,0,0,0,0,-1
barbaric,1,0,1,1,0,1,0,0,0,0,-1
bargain,0,0,0,0,0,0,1,0,0,1,1
bark,1,0,0,0,0,1,0,0,0,0,-1
barren,0,0,0,0,0,1,0,1,0,0,-1
barricade,0,0,0,1,0,1,0,0,0,0,-1
barrier,1,0,0,0,0,1,0,0,0,0,-1
basketball,0,1,0,0,1,0,1,0,0,0,1
bastard,0,0,1,0,0,1,0,1,0,0,-1
bastion,1,0,0,0,0,0,1,0,0,0,1
batter,1,0,0,1,0,1,0,0,0,0,-1
battered,0,0,0,1,0,1,0,1,0,0,-1
battery,1,0,0,0,0,1,0,0,0,0,-1
battle,1,0,0,0,0,1,0,0,0,0,-1
battled,1,0,0,1,0,1,0,1,0,0,-1
battlefield,0,0,0,1,0,1,0,0,0,0,-1
bayonet,1,0,0,1,0,1,0,0,0,0,-1
beam,0,0,0,0,1,0,1,0,0,0,1
beaming,0,1,0,0,1,0,1,0,0,0,1
bear,1,0,0,1,0,0,0,0,0,0,0
bearish,1,0,0,1,0,0,0,0,0,0,0
beast,1,0,0,1,0,1,0,0,0,0,-1
beastly,0,0,1,1,0,1,0,0,0,0,-1
beating,1,0,0,1,0,1,0,1,0,0,-1
beautification,0,0,0,0,1,0,1,0,0,1,1
beautiful,0,0,0,0,1,0,1,0,0,0,1
beautify,0,0,0,0,1,0,1,0,0,0,1
beauty,0,0,0,0,1,0,1,0,0,0,1
bedrock,0,0,0,0,0,0,1,0,0,1,1
bee,1,0,0,1,0,0,0,0,0,0,0
beer,0,0,0,0,1,0,1,0,0,0,1
befriend,0,0,0,0,1,0,1,0,0,1,1
beg,0,0,0,0,0,1,0,1,0,0,-1
beggar,0,0,0,0,0,1,0,1,0,0,-1
behemoth,0,0,0,1,0,1,0,0,0,0,-1
believing,0,0,0,0,0,0,1,0,0,1,1
belittle,1,0,1,1,0,1,0,1,0,0,-1
belligerent,1,0,0,1,0,1,0,0,0,0,-1
belt,1,0,0,1,0,1,0,0,0,0,-1
benefactor,0,0,0,0,0,0,1,0,0,1,1
benevolence,0,0,0,0,1,0,1,0,0,1,1
benign,0,0,0,0,1,0,1,0,0,0,1
bereaved,0,0,0,0,0,1,0,1,0,0,-1
bereavement,0,0,0,0,0,1,0,1,0,0,-1
berserk,1,0,0,0,0,1,0,0,0,0,-1
bestial,0,0,1,1,0,1,0,0,0,0,-1
betray,1,0,1,0,0,1,0,1,1,0,-1
betrayal,1,0,1,0,0,1,0,1,0,0,-1
betrothed,0,1,0,0,1,0,1,0,0,1,1
beware,0,1,0,1,0,1,0,0,0,0,-1
bewildered,0,0,0,1,0,1,0,0,1,0,-1
bewilderment,0,0,0,1,0,0,0,0,1,0,0
bias,1,0,0,0,0,1,0,0,0,0,-1
bickering,1,0,1,0,0,1,0,0,0,0,-1
bier,0,0,0,1,0,1,0,1,0,0,-1
bigot,1,0,1,1,0,1,0,0,0,0,-1
bigoted,1,0,1,1,0,1,0,1,0,0,-1
bile,1,0,1,0,0,1,0,0,0,0,-1
biopsy,0,0,0,1,0,1,0,0,0,0,-1
birch,1,0,1,1,0,1,0,0,0,0,-1
birth,0,1,0,1,1,0,1,0,0,1,1
birthday,0,1,0,0,1,0,1,0,1,0,1
birthplace,1,0,0,0,0,1,0,0,0,0,-1
bitch,1,0,1,1,0,1,0,1,0,0,-1
bitterly,1,0,1,0,0,1,0,1,0,0,-1
bitterness,1,0,1,0,0,1,0,1,0,0,-1
bizarre,0,0,0,0,0,1,0,0,1,0,-1
black,0,0,0,0,0,1,0,1,0,0,-1
blackmail,1,0,0,1,0,1,0,0,0,0,-1
blackness,0,0,0,1,0,1,0,1,0,0,-1
blame,1,0,1,0,0,1,0,0,0,0,-1
blasphemous,1,0,1,0,0,1,0,0,0,0,-1
blasphemy,1,0,0,0,0,1,0,0,0,0,-1
blast,1,0,0,1,0,1,0,0,1,0,-1
blatant,1,0,1,0,0,1,0,0,0,0,-1
blaze,1,0,0,0,0,1,0,0,0,0,-1
bleak,0,0,0,0,0,1,0,1,0,0,-1
bleeding,0,0,1,1,0,1,0,1,0,0,-1
blemish,1,0,1,1,0,1,0,1,0,0,-1
bless,0,1,0,0,1,0,1,0,0,1,1
blessed,0,0,0,0,1,0,1,0,0,0,1
blessing,0,1,0,0,1,0,1,0,0,1,1
blessings,0,1,0,0,1,0,1,0,1,1,1
blight,0,0,1,1,0,1,0,1,0,0,-1
blighted,0,0,1,0,0,1,0,1,0,0,-1
blindfold,0,1,0,1,0,0,0,0,1,0,0
blindly,0,0,0,0,0,1,0,1,0,0,-1
blindness,0,0,0,0,0,1,0,1,0,0,-1
bliss,0,0,0,0,1,0,1,0,0,0,1
blissful,0,0,0,0,1,0,1,0,0,0,1
blister,0,0,1,0,0,1,0,0,0,0,-1
bloated,0,0,1,0,0,1,0,0,0,0,-1
blob,0,0,1,1,0,1,0,0,0,0,-1
blockade,1,0,0,1,0,1,0,1,0,0,-1
bloodshed,1,0,1,1,0,1,0,1,1,0,-1
bloodthirsty,1,0,1,1,0,1,0,0,0,0,-1
bloody,1,0,1,1,0,1,0,1,0,0,-1
bloom,0,1,0,0,1,0,1,0,0,1,1
blossom,0,0,0,0,1,0,1,0,0,0,1
blues,0,0,0,1,0,1,0,1,0,0,-1
blunder,0,0,1,0,0,1,0,1,0,0,-1
boast,0,0,0,0,0,1,1,0,0,0,0
bodyguard,0,0,0,0,0,0,1,0,0,1,1
bogus,1,0,1,0,0,1,0,0,0,0,-1
boil,0,0,1,0,0,1,0,0,0,0,-1
boisterous,1,1,0,0,1,1,1,0,0,0,0
bomb,1,0,0,1,0,1,0,1,1,0,-1
bombard,1,0,0,1,0,1,0,0,0,0,-1
bombardment,1,0,0,1,0,1,0,0,0,0,-1
bombed,0,0,1,0,0,1,0,0,0,0,-1
bomber,0,0,0,1,0,0,0,1,0,0,0
bonanza,0,0,0,0,1,0,1,0,0,0,1
bondage,0,0,0,1,0,1,0,1,0,0,-1
bonus,0,1,0,0,1,0,1,0,1,0,1
bookworm,0,0,0,0,0,1,1,0,0,0,0
boomerang,0,1,0,0,0,0,0,0,0,1,0
boredom,0,0,0,0,0,1,0,1,0,0,-1
bothering,1,0,0,0,0,1,0,1,0,0,-1
bottom,0,0,0,0,0,1,0,1,0,0,-1
bountiful,0,1,0,0,1,0,1,0,0,0,1
bounty,0,1,0,0,1,0,1,0,0,1,1
bouquet,0,0,0,0,1,0,1,0,0,1,1
bout,1,0,0,0,0,1,0,0,0,0,-1
bovine,0,0,1,0,0,1,0,0,0,0,-1
boy,0,0,1,0,0,1,0,0,0,0,-1
brawl,1,0,1,1,0,1,0,0,0,0,-1
brazen,1,0,0,0,0,1,0,0,0,0,-1
breakup,0,0,0,0,0,1,0,1,0,0,-1
bribery,0,0,1,0,0,1,0,0,0,0,-1
bridal,0,1,0,0,1,0,1,0,0,1,1
bride,0,1,0,0,1,0,1,0,0,1,1
bridegroom,0,1,0,0,1,0,1,0,0,1,1
bridesmaid,0,0,0,0,1,0,1,0,0,1,1
brigade,0,0,0,1,0,1,0,0,0,0,-1
brighten,0,0,0,0,1,0,1,0,1,1,1
brilliant,0,1,0,0,1,0,1,0,0,1,1
brimstone,1,0,0,1,0,1,0,0,0,0,-1
broadside,0,1,0,0,0,1,0,0,0,0,-1
broil,1,0,0,0,0,1,0,0,0,0,-1
broke,0,0,0,1,0,1,0,1,0,0,-1
broken,1,0,0,1,0,1,0,1,0,0,-1
brothel,0,0,1,0,0,1,0,0,0,0,-1
brother,0,0,0,0,0,0,1,0,0,1,1
brotherhood,0,0,0,0,0,0,1,0,0,1,1
brotherly,0,1,0,0,1,0,1,0,0,1,1
bruise,0,1,0,0,0,1,0,0,0,0,-1
brunt,1,0,0,0,0,1,0,0,0,0,-1
brutal,1,0,0,1,0,1,0,0,0,0,-1
brutality,1,0,0,1,0,1,0,0,0,0,-1
brute,1,0,0,1,0,1,0,1,0,0,-1
buck,0,0,0,1,0,1,1,0,1,0,0
buddy,0,1,0,0,1,0,1,0,0,1,1
buffet,1,0,0,0,0,1,0,0,0,0,-1
bug,0,0,1,1,0,1,0,0,0,0,-1
bugaboo,1,0,0,1,0,1,0,1,0,0,-1
bully,1,0,0,1,0,1,0,0,0,0,-1
bum,0,0,1,0,0,1,0,1,0,0,-1
bummer,1,0,1,0,0,1,0,0,0,0,-1
burdensome,0,0,0,1,0,1,0,1,0,0,-1
bureaucracy,0,0,0,0,0,1,0,0,0,1,-1
bureaucrat,0,0,1,0,0,1,0,0,0,0,-1
burglar,0,0,1,1,0,1,0,0,0,0,-1
burial,1,0,0,1,0,1,0,1,0,0,-1
buried,0,0,0,1,0,1,0,1,0,0,-1
burke,1,0,1,1,0,1,0,1,0,0,-1
burnt,0,0,1,0,0,1,0,0,0,0,-1
buss,0,0,0,0,1,0,1,0,0,0,1
busted,1,0,0,1,0,1,0,0,0,0,-1
butcher,1,0,1,1,0,1,0,0,0,0,-1
butler,0,0,0,0,0,0,1,0,0,1,1
buzz,0,1,0,1,0,0,1,0,0,0,1
cabal,0,0,0,1,0,1,0,0,0,0,-1
cabinet,0,0,0,0,0,0,1,0,0,1,1
cacophony,1,0,1,0,0,1,0,0,0,0,-1
cad,1,0,1,0,0,1,0,0,0,0,-1
cadaver,0,0,1,1,0,1,0,1,1,0,-1
cage,0,0,0,0,0,1,0,1,0,0,-1
calculator,0,0,0,0,0,0,1,0,0,1,1
calf,0,0,0,0,1,0,1,0,0,1,1
callous,1,0,1,0,0,1,0,0,0,0,-1
calls,0,1,0,0,0,1,0,0,0,1,-1
campaigning,1,0,0,1,0,1,0,0,0,0,-1
cancel,0,0,0,0,0,1,0,1,0,0,-1
cancer,1,0,1,1,0,1,0,1,0,0,-1
candid,0,1,0,0,1,0,1,0,1,1,1
cane,1,0,0,1,0,0,0,0,0,0,0
canker,1,0,1,0,0,1,0,0,0,0,-1
cannibal,0,0,1,1,0,1,0,0,0,0,-1
cannibalism,0,0,1,0,0,1,0,0,0,0,-1
cannon,1,0,0,1,0,1,0,0,0,0,-1
cap,0,1,0,0,0,0,0,0,0,1,0
captivate,0,1,0,0,1,0,1,0,1,1,1
captive,0,0,0,1,0,1,0,1,0,0,-1
captivity,0,0,0,0,0,1,0,1,0,0,-1
captor,0,0,0,1,0,1,0,0,0,0,-1
carcass,0,0,1,1,0,1,0,1,0,0,-1
carcinoma,0,0,0,1,0,1,0,1,0,0,-1
cardiomyopathy,0,0,0,1,0,1,0,1,0,0,-1
career,0,1,0,0,0,0,1,0,0,0,1
carelessness,1,0,1,0,0,1,0,0,0,0,-1
caretaker,0,0,0,0,0,0,1,0,0,1,1
caries,0,0,1,0,0,1,0,0,0,0,-1
carnage,1,0,1,1,0,1,0,1,1,0,-1
carnivorous,0,0,0,1,0,1,0,0,0,0,-1
carol,0,0,0,0,1,0,1,0,0,1,1
case,0,0,0,1,0,1,0,1,0,0,-1
cash,1,1,0,1,1,0,1,0,0,1,1
casket,0,0,0,1,0,1,0,1,0,0,-1
casualty,1,0,0,1,0,1,0,1,0,0,-1
cataract,0,1,0,1,0,1,0,1,0,0,-1
catastrophe,1,0,1,1,0,1,0,1,1,0,-1
cathedral,0,0,0,0,1,0,1,0,0,1,1
caution,1,1,0,1,0,1,0,0,0,0,-1
cautious,0,1,0,1,0,0,1,0,0,1,1
cautiously,0,0,0,1,0,0,1,0,0,0,1
celebrated,0,1,0,0,1,0,1,0,0,0,1
celebrating,0,1,0,0,1,0,1,0,0,0,1
celebration,0,1,0,0,1,0,1,0,1,1,1
celebrity,1,1,1,0,1,1,1,0,1,1,0
celestial,0,1,0,0,1,0,1,0,0,0,1
cement,0,1,0,0,0,0,0,0,0,1,0
cemetery,0,0,0,1,0,1,0,1,0,0,-1
censor,1,0,1,1,0,1,0,0,0,1,-1
center,0,0,0,0,0,0,1,0,0,1,1
ceremony,0,0,0,0,1,0,1,0,1,0,1
cess,0,0,1,0,0,1,0,0,0,0,-1
chaff,1,0,0,1,0,1,0,0,0,0,-1
chagrin,0,0,1,0,0,1,0,1,0,0,-1
chairman,0,0,0,0,0,0,1,0,0,1,1
